Genotype	ZLname
1538	ZL001
2369	ZL002
2MA22	ZL003
33-16	ZL004
3IJI1	ZL005
4226	ZL006
4F-234-BX-4	ZL007
6M502	ZL009
764	ZL010
PHW80	ZL100
PHW86	ZL101
SG-30A	ZL104
TZU-CHIAO-HSI-WU-105	ZL105
B104	ZL107
Va26	ZL108
Va35	ZL109
78010	ZL011
Va99	ZL110
VaW6	ZL111
W182E	ZL112
W22	ZL113
W37A	ZL114
W552	ZL115
H99	ZL116
W610S	ZL117
W9	ZL118
Os420	ZL119
Yu796-NS	ZL120
A239	ZL014
A334	ZL015
A427	ZL016
A659	ZL018
B103	ZL019
B115	ZL020
B14A	ZL021
B2	ZL022
B-28	ZL023
B85	ZL025
B88	ZL026
B97	ZL027
C103	ZL028
CO257	ZL029
DE3	ZL030
DK4676A	ZL031
DKFBHJ	ZL032
DKIB014	ZL033
F2834T	ZL034
FC46	ZL035
FR19	ZL036
H121	ZL037
H96	ZL038
HP301	ZL039
Ia-453	ZL040
INBRED-305	ZL041
K47	ZL042
LH184	ZL044
LH143	ZL046
LH145	ZL047
LH146Ht	ZL048
LH185	ZL049
LH215	ZL050
LH82	ZL051
M14	ZL052
Mo17	ZL053
Mo1W	ZL054
Mo45	ZL055
MoG	ZL056
MS72	ZL057
MS200	ZL058
MS225	ZL059
MS71	ZL060
Mo44	ZL061
N217	ZL062
N542	ZL064
NC230	ZL065
B73	ZL066
NC250	ZL067
NC342	ZL068
ND259	ZL071
NK778	ZL072
NS701	ZL073
NY6371	ZL074
Oh40B	ZL075
Oh43	ZL076
Oh7	ZL077
Os426	ZL078
W606S	ZL080
Pa875	ZL081
PH207	ZL082
PHB09	ZL083
PHG80	ZL085
PHG84	ZL086
PHJ40	ZL087
PHK42	ZL089
PHJ33	ZL091
PHR36	ZL092
PHWG5	ZL093
PHV63	ZL095
PHW30	ZL096
PHW43	ZL097
PHW52	ZL098
PHW79	ZL099
